"","State","Year","GDP"
"1","Alaska","2015","51,490.9"
"2","Alabama","2015","202,372.4"
"3","Arkansas","2015","117,786.8"
"4","Arizona","2015","299,393.3"
"5","California","2015","2,473,555.9"
"6","Colorado","2015","320,721.1"
"7","Connecticut","2015","259,487.8"
"8","Delaware","2015","71,913.9"
"9","Florida","2015","908,519.9"
"10","Georgia","2015","521,008.2"
"11","Hawaii","2015","81,230.3"
"12","Iowa","2015","180,299.3"
"13","Idaho","2015","65,899.9"
"14","Illinois","2015","799,930.5"
"15","Indiana","2015","331,945.7"
"16","Kansas","2015","154,958.2"
"17","Kentucky","2015","193,413.1"
"18","Louisiana","2015","235,113.5"
"19","Massachusetts","2015","498,851.3"
"20","Maryland","2015","369,728.1"
"21","Maine","2015","58,131.3"
"22","Michigan","2015","474,983.3"
"23","Minnesota","2015","335,530.2"
"24","Missouri","2015","296,929.3"
"25","Mississippi","2015","105,914.6"
"26","Montana","2015","46,604.1"
"27","North Carolina","2015","508,928.7"
"28","North Dakota","2015","55,996.9"
"29","Nebraska","2015","116,514.6"
"30","New Hampshire","2015","76,478.0"
"31","New Jersey","2015","563,233.8"
"32","New Mexico","2015","90,274.3"
"33","Nevada","2015","145,115.9"
"34","New York","2015","1,487,627.6"
"35","Ohio","2015","611,019.5"
"36","Oklahoma","2015","186,815.6"
"37","Oregon","2015","200,659.6"
"38","Pennsylvania","2015","714,202.9"
"39","Rhode Island","2015","56,390.8"
"40","South Carolina","2015","205,816.7"
"41","South Dakota","2015","48,070.2"
"42","Tennessee","2015","325,294.0"
"43","Texas","2015","1,573,498.4"
"44","Utah","2015","149,153.4"
"45","Virginia","2015","483,786.5"
"46","Vermont","2015","30,933.3"
"47","Washington","2015","466,689.7"
"48","Wisconsin","2015","307,507.9"
"49","West Virginia","2015","71,318.5"
"50","Wyoming","2015","38,426.9"
"51","Alaska","2016","50,727.7"
"52","Alabama","2016","207,368.4"
"53","Arkansas","2016","119,152.4"
"54","Arizona","2016","313,081.4"
"55","California","2016","2,569,634.0"
"56","Colorado","2016","329,911.7"
"57","Connecticut","2016","263,670.3"
"58","Delaware","2016","69,355.0"
"59","Florida","2016","953,352.5"
"60","Georgia","2016","547,546.7"
"61","Hawaii","2016","83,914.4"
"62","Iowa","2016","181,011.4"
"63","Idaho","2016","68,837.4"
"64","Illinois","2016","807,043.2"
"65","Indiana","2016","340,500.7"
"66","Kansas","2016","160,451.0"
"67","Kentucky","2016","196,484.9"
"68","Louisiana","2016","227,090.7"
"69","Massachusetts","2016","514,637.6"
"70","Maryland","2016","387,733.4"
"71","Maine","2016","60,254.4"
"72","Michigan","2016","490,264.0"
"73","Minnesota","2016","344,060.8"
"74","Missouri","2016","300,914.5"
"75","Mississippi","2016","107,291.4"
"76","Montana","2016","45,490.9"
"77","North Carolina","2016","526,029.8"
"78","North Dakota","2016","51,989.2"
"79","Nebraska","2016","118,145.9"
"80","New Hampshire","2016","79,090.1"
"81","New Jersey","2016","575,501.0"
"82","New Mexico","2016","89,769.4"
"83","Nevada","2016","151,840.4"
"84","New York","2016","1,551,354.1"
"85","Ohio","2016","623,265.3"
"86","Oklahoma","2016","181,244.4"
"87","Oregon","2016","211,305.9"
"88","Pennsylvania","2016","726,561.9"
"89","Rhode Island","2016","57,353.5"
"90","South Carolina","2016","215,120.2"
"91","South Dakota","2016","49,151.4"
"92","Tennessee","2016","336,413.9"
"93","Texas","2016","1,579,014.9"
"94","Utah","2016","157,827.3"
"95","Virginia","2016","496,021.1"
"96","Vermont","2016","31,661.2"
"97","Washington","2016","487,275.1"
"98","Wisconsin","2016","314,073.3"
"99","West Virginia","2016","70,924.4"
"100","Wyoming","2016","35,879.0"
"101","Alaska","2017","53,089.3"
"102","Alabama","2017","215,085.9"
"103","Arkansas","2017","122,350.2"
"104","Arizona","2017","330,416.1"
"105","California","2017","2,730,973.9"
"106","Colorado","2017","348,898.1"
"107","Connecticut","2017","271,582.6"
"108","Delaware","2017","68,763.8"
"109","Florida","2017","1,002,568.1"
"110","Georgia","2017","574,404.4"
"111","Hawaii","2017","87,177.8"
"112","Iowa","2017","183,549.8"
"113","Idaho","2017","71,688.4"
"114","Illinois","2017","827,075.2"
"115","Indiana","2017","353,150.3"
"116","Kansas","2017","164,923.3"
"117","Kentucky","2017","201,555.0"
"118","Louisiana","2017","241,704.2"
"119","Massachusetts","2017","532,354.3"
"120","Maryland","2017","400,406.0"
"121","Maine","2017","62,412.9"
"122","Michigan","2017","501,751.6"
"123","Minnesota","2017","354,684.2"
"124","Missouri","2017","308,722.1"
"125","Mississippi","2017","109,962.5"
"126","Montana","2017","48,439.5"
"127","North Carolina","2017","549,670.6"
"128","North Dakota","2017","55,228.0"
"129","Nebraska","2017","121,946.3"
"130","New Hampshire","2017","80,665.9"
"131","New Jersey","2017","586,374.6"
"132","New Mexico","2017","92,311.1"
"133","Nevada","2017","160,785.0"
"134","New York","2017","1,603,903.4"
"135","Ohio","2017","641,745.8"
"136","Oklahoma","2017","190,674.5"
"137","Oregon","2017","222,613.8"
"138","Pennsylvania","2017","745,011.3"
"139","Rhode Island","2017","57,940.8"
"140","South Carolina","2017","223,044.9"
"141","South Dakota","2017","50,299.4"
"142","Tennessee","2017","349,837.7"
"143","Texas","2017","1,677,110.9"
"144","Utah","2017","168,058.4"
"145","Virginia","2017","509,892.8"
"146","Vermont","2017","32,246.9"
"147","Washington","2017","519,942.9"
"148","Wisconsin","2017","318,364.2"
"149","West Virginia","2017","74,799.5"
"150","Wyoming","2017","36,863.7"
"151","Alaska","2018","54,711.7"
"152","Alabama","2018","224,046.9"
"153","Arkansas","2018","127,306.5"
"154","Arizona","2018","349,907.5"
"155","California","2018","2,895,101.0"
"156","Colorado","2018","371,424.6"
"157","Connecticut","2018","280,692.0"
"158","Delaware","2018","72,488.0"
"159","Florida","2018","1,057,862.3"
"160","Georgia","2018","602,340.1"
"161","Hawaii","2018","90,276.4"
"162","Iowa","2018","190,403.1"
"163","Idaho","2018","77,493.9"
"164","Illinois","2018","867,535.5"
"165","Indiana","2018","373,518.4"
"166","Kansas","2018","172,327.5"
"167","Kentucky","2018","208,250.3"
"168","Louisiana","2018","255,810.3"
"169","Massachusetts","2018","564,047.3"
"170","Maryland","2018","411,099.8"
"171","Maine","2018","65,491.9"
"172","Michigan","2018","520,802.6"
"173","Minnesota","2018","373,419.5"
"174","Missouri","2018","319,393.9"
"175","Mississippi","2018","112,406.8"
"176","Montana","2018","50,903.8"
"177","North Carolina","2018","569,981.7"
"178","North Dakota","2018","59,092.6"
"179","Nebraska","2018","126,922.7"
"180","New Hampshire","2018","83,844.0"
"181","New Jersey","2018","613,508.7"
"182","New Mexico","2018","97,269.2"
"183","Nevada","2018","170,352.9"
"184","New York","2018","1,694,957.9"
"185","Ohio","2018","666,973.9"
"186","Oklahoma","2018","202,466.6"
"187","Oregon","2018","237,066.0"
"188","Pennsylvania","2018","772,611.4"
"189","Rhode Island","2018","59,129.0"
"190","South Carolina","2018","233,665.3"
"191","South Dakota","2018","52,404.3"
"192","Tennessee","2018","361,381.5"
"193","Texas","2018","1,809,706.4"
"194","Utah","2018","182,643.6"
"195","Virginia","2018","531,757.1"
"196","Vermont","2018","33,032.7"
"197","Washington","2018","564,480.7"
"198","Wisconsin","2018","332,263.5"
"199","West Virginia","2018","79,044.8"
"200","Wyoming","2018","39,032.3"
"201","Alaska","2019","54,547.1"
"202","Alabama","2019","231,171.8"
"203","Arkansas","2019","130,839.9"
"204","Arizona","2019","369,988.2"
"205","California","2019","3,052,645.2"
"206","Colorado","2019","392,218.0"
"207","Connecticut","2019","288,109.1"
"208","Delaware","2019","77,042.2"
"209","Florida","2019","1,116,435.4"
"210","Georgia","2019","637,798.7"
"211","Hawaii","2019","91,781.1"
"212","Iowa","2019","194,322.6"
"213","Idaho","2019","82,420.1"
"214","Illinois","2019","890,486.1"
"215","Indiana","2019","381,020.3"
"216","Kansas","2019","176,738.5"
"217","Kentucky","2019","216,101.5"
"218","Louisiana","2019","254,562.0"
"219","Massachusetts","2019","593,256.7"
"220","Maryland","2019","421,609.5"
"221","Maine","2019","68,452.9"
"222","Michigan","2019","531,434.6"
"223","Minnesota","2019","383,039.6"
"224","Missouri","2019","332,272.9"
"225","Mississippi","2019","114,733.8"
"226","Montana","2019","51,789.3"
"227","North Carolina","2019","595,655.4"
"228","North Dakota","2019","59,004.5"
"229","Nebraska","2019","131,352.4"
"230","New Hampshire","2019","87,507.6"
"231","New Jersey","2019","639,436.7"
"232","New Mexico","2019","101,971.5"
"233","Nevada","2019","181,743.3"
"234","New York","2019","1,777,751.8"
"235","Ohio","2019","693,199.3"
"236","Oklahoma","2019","203,699.7"
"237","Oregon","2019","246,647.1"
"238","Pennsylvania","2019","799,686.2"
"239","Rhode Island","2019","61,319.1"
"240","South Carolina","2019","244,662.3"
"241","South Dakota","2019","53,939.9"
"242","Tennessee","2019","376,916.5"
"243","Texas","2019","1,863,953.8"
"244","Utah","2019","195,088.4"
"245","Virginia","2019","554,305.8"
"246","Vermont","2019","34,127.5"
"247","Washington","2019","597,873.8"
"248","Wisconsin","2019","344,724.8"
"249","West Virginia","2019","79,139.7"
"250","Wyoming","2019","39,600.8"
"251","Alaska","2020","49,820.0"
"252","Alabama","2020","226,896.5"
"253","Arkansas","2020","130,750.7"
"254","Arizona","2020","373,719.0"
"255","California","2020","3,007,187.7"
"256","Colorado","2020","382,584.7"
"257","Connecticut","2020","276,422.9"
"258","Delaware","2020","75,786.5"
"259","Florida","2020","1,106,035.5"
"260","Georgia","2020","622,627.8"
"261","Hawaii","2020","82,884.6"
"262","Iowa","2020","194,267.6"
"263","Idaho","2020","83,821.6"
"264","Illinois","2020","858,366.9"
"265","Indiana","2020","375,336.7"
"266","Kansas","2020","175,141.8"
"267","Kentucky","2020","212,539.6"
"268","Louisiana","2020","235,437.4"
"269","Massachusetts","2020","582,476.8"
"270","Maryland","2020","410,674.7"
"271","Maine","2020","69,271.8"
"272","Michigan","2020","515,119.9"
"273","Minnesota","2020","373,739.3"
"274","Missouri","2020","329,367.2"
"275","Mississippi","2020","113,845.7"
"276","Montana","2020","51,508.8"
"277","North Carolina","2020","589,829.0"
"278","North Dakota","2020","54,854.2"
"279","Nebraska","2020","133,439.0"
"280","New Hampshire","2020","87,621.0"
"281","New Jersey","2020","618,579.3"
"282","New Mexico","2020","98,472.1"
"283","Nevada","2020","170,943.8"
"284","New York","2020","1,724,759.1"
"285","Ohio","2020","677,561.2"
"286","Oklahoma","2020","188,056.6"
"287","Oregon","2020","243,776.8"
"288","Pennsylvania","2020","771,897.9"
"289","Rhode Island","2020","60,556.3"
"290","South Carolina","2020","244,881.7"
"291","South Dakota","2020","54,789.4"
"292","Tennessee","2020","369,574.3"
"293","Texas","2020","1,775,587.8"
"294","Utah","2020","197,561.9"
"295","Virginia","2020","549,535.8"
"296","Vermont","2020","33,435.0"
"297","Washington","2020","604,253.8"
"298","Wisconsin","2020","337,714.0"
"299","West Virginia","2020","75,855.0"
"300","Wyoming","2020","36,323.5"
