"","State","Year","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","CO2.Emissions..Mmt.","TotalNumberofInvestments","TotalAmountofAssistance"
"1","Alabama",2015,1933,356,1933,356,331420,25.122,13193,5.717,0,0,141,91902,92144,182481,1.085,168246,438728,55421,9694,258955,101,1267004,1917138,0,163313,163313,1565,164877,0,35.0278036,16,3345612
"2","Alabama",2016,1906,351,1906,351,247632,25.68,9643,5.722,0,0,141,64484,65056,176290,1.07,164815,417334,46417,8112,230734,431,1118407,1922727,0,162166,162166,1606,163772,0,119.2008893,164,1864412
"3","Alabama",2017,1585,292,1585,292,326748,25.407,12861,5.723,0,0,141,85103,87057,159686,1.064,150038,446097,39100,6832,258549,1812,1230179,1904206,1137,168195,167058,1712,169907,0,59.05336455,477,13453887
"4","Alabama",2018,1652,304,1652,304,370533,25.065,14783,5.706,0,0,141,101447,105013,149607,1.073,139477,412584,33591,5887,279560,3425,1245875,1956413,4462,171215,166753,1680,172895,0,94.97878443,65,1724853
"5","Alabama",2019,1494,275,1494,275,350506,24.816,14124,5.698,0,0,141,101563,105332,138425,1.064,130069,455865,27687,4859,278142,3628,1250624,1926332,5308,169739,164431,1577,171316,0,351.408516,1023,30077512
"6","Alaska",2015,21,4,21,4,17747,15.073,1177,5.717,0,0,186,14621,16298,380887,1.108,343625,0,1007501,176229,23807,3,1429942,614242,0,6865,6865,622,7488,1488,91.30387161,206,1658730
"7","Alaska",2016,27,5,27,5,13942,14.957,932,5.722,0,0,186,15317,17081,369865,1.112,332749,0,1026401,179378,25155,14,1435363,593662,0,7636,7636,412,8048,1563,36.32904924,33,1340702
"8","Alaska",2017,29,5,29,5,14365,14.978,959,5.723,0,0,186,15143,16655,382940,1.112,344385,0,1033270,180547,23620,20,1454196,601492,0,6501,6501,436,6937,1305,13.9053954,68,1452666
"9","Alaska",2018,15,3,15,3,13752,15.253,902,5.706,0,0,186,15151,16777,375279,1.1,341315,0,997415,174801,24158,28,1410604,604644,0,6910,6910,456,7366,1411,237.3833592,45,3527420
"10","Alaska",2019,0,0,0,0,14867,15.252,975,5.698,0,0,186,14456,15951,364363,1.106,329361,0,968358,169947,22754,40,1370342,605689,0,6418,6418,386,6803,1270,145.6756383,247,6155856
"11","Arizona",2015,12,2,6602,1157,146450,21.522,6805,5.717,6590,1154,345,60906,113693,99,1.04,95,340153,212,37,128954,48229,615867,1495858,0,8001,8001,658,8659,4213,19.7810368,16,1033143
"12","Arizona",2016,57,10,6204,1089,116678,21.516,5423,5.722,6147,1078,345,66173,124372,49,1.037,47,338636,46,8,138522,52854,593930,1524720,0,7481,7481,465,7946,5000,77.41573961,198,5552396
"13","Arizona",2017,0,0,6584,1155,134024,21.543,6221,5.723,6584,1155,345,62942,134856,58,1.041,56,338246,74,13,149493,66318,621896,1531479,0,7541,7541,512,8053,5251,18.03591394,108,1895904
"14","Arizona",2018,0,0,6758,1184,140759,21.489,6550,5.706,6758,1184,345,63566,139517,44,1.041,42,325122,57,10,156071,70779,622052,1542208,0,9307,9307,489,9796,4827,219.157681,57,2533998
"15","Arizona",2019,0,0,3026,531,82222,21.398,3843,5.698,3026,531,345,55251,133794,68,1.032,66,333312,40,7,148194,73262,563836,1556416,0,10949,10949,425,11374,4937,187.2335142,68,2525723
"16","Arkansas",2015,4429,815,4429,815,1819,19.893,91,5.717,0,0,808,33261,34194,1031466,1.021,1010382,144716,35611,6229,117840,124,1331452,1062359,0,75417,75417,3799,79217,0,64.51256023,120,2548830
"17","Arkansas",2016,5377,990,5377,990,974,19.705,49,5.722,0,0,808,32958,34139,839485,1.02,823196,140370,31580,5519,115419,372,1127828,1053706,0,70786,70786,5118,75904,0,131.3429697,129,315635700
"18","Arkansas",2017,6760,1244,6760,1244,832,19.472,43,5.723,0,0,808,27117,28367,708482,1.02,694676,132736,30263,5288,116692,442,989005,1057701,5455,77206,71751,4359,81565,0,185.5592561,61,2312261
"19","Arkansas",2018,9499,1748,9499,1748,0,0,0,5.706,0,0,808,27392,30317,600455,1.018,589985,132996,28553,5004,126121,2117,888125,1116757,8489,82077,73588,4228,86305,0,66.74652168,34,4240538
"20","Arkansas",2019,8589,1581,8589,1581,0,0,0,5.698,0,0,808,36819,39884,534585,1.019,524757,141750,27538,4833,133513,2256,837386,1096477,8833,81001,72168,4040,85041,0,62.28032684,100,1890491
"21","California",2015,4057,747,30601,5397,0,0,0,5.717,26544,4650,112878,128681,567365,271086,1.146,236648,193529,1150741,201284,737527,211839,2352883,7525491,0,98852,98852,40708,139561,113967,16.67908857,74,2818563
"22","California",2016,5872,1081,32765,5798,0,0,0,5.722,26893,4717,107912,267194,767360,234094,1.142,205025,197754,1064744,186079,929692,267538,2426284,7647955,0,89236,89236,40332,129568,124715,164.4556231,76,3049845
"23","California",2017,5436,1001,34240,6052,0,0,0,5.723,28804,5051,108637,390292,957430,240221,1.131,212458,187227,992385,173403,1122218,340363,2542051,7766193,0,87833,87833,42714,130548,118138,89.33099915,119,3292766
"24","California",2018,5950,1095,35465,6265,0,0,0,5.706,29515,5170,108445,239714,857451,228906,1.13,202617,190422,916715,160658,1026274,381618,2362317,7865156,0,90644,90644,42714,133358,127674,124.7473311,619,7036095
"25","California",2019,5491,1011,31877,5643,0,0,0,5.698,26386,4632,99329,341549,968843,220789,1.122,196823,168799,890882,156350,1140051,405654,2420522,7790111,0,98358,98358,40974,139332,122311,61.29692129,403,3710526
"26","Colorado",2015,0,0,19861,3479,403605,21.379,18879,5.717,19861,3479,759,15098,91789,1965188,1.164,1688733,0,698737,122221,126586,6270,3194117,1501006,0,13804,13804,1133,14936,69662,32.53164542,94,896759
"27","Colorado",2016,0,0,19461,3413,270920,21.444,12634,5.722,19461,3413,759,17565,114808,1981005,1.175,1685756,0,663969,116038,149600,9509,3065494,1470307,0,14233,14233,1098,15331,86977,124.7782841,232,202376181
"28","Colorado",2017,0,0,19828,3477,320001,21.267,15047,5.723,19828,3477,759,17479,118027,2028824,1.189,1706364,0,744780,130138,153379,13973,3246984,1477307,0,14434,14434,1090,15524,85816,57.9230603,16,420940
"29","Colorado",2018,0,0,19735,3457,293149,20.901,14026,5.706,19735,3457,759,16618,121433,2217310,1.2,1847402,0,966448,169374,156998,15336,3633905,1527222,0,14728,14728,1102,15831,88720,50.71057586,247,3396859
"30","Colorado",2019,0,0,18725,3287,270466,21.018,12868,5.698,18725,3287,759,16127,130306,2394039,1.205,1986916,0,1096198,192383,167095,16780,3927798,1566652,0,16968,16968,1095,18063,96640,15.27856723,46,1371086
"31","Connecticut",2015,715,132,715,132,0,0,0,0,0,0,21,2819,5792,0,0,0,182083,0,0,33234,2952,215318,756746,0,15661,15661,11067,26728,0,103.6600002,47,1130951
"32","Connecticut",2016,1496,275,1496,275,0,0,0,0,0,0,21,2069,6336,0,0,0,173363,0,0,34249,4128,207612,724686,0,14933,14933,11485,26418,118,50.69183199,50,1126396
"33","Connecticut",2017,1379,254,1379,254,0,0,0,0,0,0,21,3060,8284,0,0,0,172570,0,0,32888,5086,205458,728349,0,12683,12683,10543,23225,117,38.5171354,16,790588
"34","Connecticut",2018,2296,423,2296,423,0,0,0,0,0,0,21,5056,11668,0,0,0,176496,0,0,37572,6480,214068,756159,0,13893,13893,9715,23608,112,174.3599244,104,5040800
"35","Connecticut",2019,2359,434,2359,434,0,0,0,0,0,0,21,3811,11485,0,0,0,174730,0,0,37172,7545,211902,735517,0,14328,14328,9000,23328,109,211.1966253,175,2513363
"36","Delaware",2015,0,0,0,0,0,0,0,0,0,0,430,0,1708,0,0,0,0,0,0,3517,1230,3517,284672,0,1044,1044,765,1809,48,100.2883311,64,1677872
"37","Delaware",2016,0,0,0,0,0,0,0,0,0,0,430,0,1612,0,0,0,0,0,0,3105,1133,3105,280937,0,825,825,667,1493,49,37.89416845,169,6478283
"38","Delaware",2017,0,0,0,0,0,0,0,0,0,0,430,0,1830,0,0,0,0,0,0,3269,1354,3269,280044,0,748,748,692,1439,46,232.9252268,102,4218295
"39","Delaware",2018,0,0,0,0,0,0,0,0,0,0,430,0,1969,0,0,0,0,0,0,3389,1492,3389,300567,0,739,739,680,1419,47,10.80452453,11,671306
"40","Delaware",2019,0,0,0,0,0,0,0,0,0,0,430,0,2105,0,0,0,0,0,0,3611,1628,3611,298616,0,789,789,716,1506,47,73.39880613,60,3065630
"41","Florida",2015,645,119,645,119,0,0,0,5.717,0,0,10056,2277,42466,1162,1.521,764,294099,12623,2208,223761,30133,531646,4324701,0,111608,111608,69043,180650,0,14.13943764,63,3577721
"42","Florida",2016,558,103,558,103,0,0,0,5.722,0,0,10056,1611,42513,1062,1.484,716,306658,11066,1934,223405,30846,542192,4362567,9939,108866,98926,71468,180333,0,98.70392565,104,3275928
"43","Florida",2017,855,157,855,157,0,0,0,5.723,0,0,10056,2011,50264,1048,1.48,708,304840,11005,1923,236674,38197,553568,4345055,9840,109274,99435,76280,185555,0,655.1432269,110,2671308
"44","Florida",2018,1818,335,1818,335,0,0,0,5.706,0,0,10056,2117,65529,1123,1.425,788,306461,10493,1839,247001,53356,565077,4441047,11096,110027,98931,69626,179653,0,63.61302159,80,1243588
"45","Florida",2019,920,169,920,169,0,0,0,5.698,0,0,10056,1869,80308,1295,1.516,854,303946,11037,1937,248107,68383,564385,4371666,11065,108140,97075,58739,166879,0,107.6199041,31,2446464
"46","Georgia",2015,1242,229,14563,2562,0,0,0,0,13321,2334,315,27804,30579,0,0,0,353883,0,0,269514,2461,623396,2978591,0,195948,195948,28423,224371,0,6.126831312,33,47317173
"47","Georgia",2016,1770,326,17166,3026,0,0,0,0,15397,2700,315,31137,41707,0,0,0,360633,0,0,282334,10256,642967,2951822,15655,212606,196951,10855,223461,0,75.13711456,109,1978193
"48","Georgia",2017,1739,320,16168,2850,0,0,0,0,14429,2530,315,22201,43232,0,0,0,352560,0,0,275016,20716,627576,2925877,17323,207534,190211,8082,215617,0,99.85701526,107,3755629
"49","Georgia",2018,1378,254,15154,2667,0,0,0,0,13776,2413,315,33656,54929,0,0,0,359262,0,0,288295,20958,647556,3003699,19163,211205,192042,7007,218212,0,91.96307825,69,491426
"50","Georgia",2019,1085,200,16987,2991,0,0,0,0,15901,2792,315,35230,57849,0,0,0,350759,0,0,301842,22304,652601,2955875,19523,220438,200915,6568,227006,0,64.09286316,18,249960
"51","Hawaii",2015,383,70,383,70,0,0,0,0,0,0,2154,1129,17353,0,0,0,0,0,0,24957,8360,24957,298992,0,38,38,7182,7220,5710,33.40561066,14,2247734
"52","Hawaii",2016,451,83,451,83,0,0,0,0,0,0,2409,839,18961,0,0,0,0,0,0,27593,9813,27593,300390,0,35,35,8146,8181,5900,113.9837834,129,1206793
"53","Hawaii",2017,479,88,479,88,0,0,0,0,0,0,2980,609,21070,0,0,0,0,0,0,26964,12579,26964,308376,0,106,106,5310,5415,4902,62.12624984,703,4637664
"54","Hawaii",2018,509,94,509,94,0,0,0,0,0,0,1010,879,20439,0,0,0,0,0,0,26299,13070,26299,306342,0,94,94,5257,5351,5480,90.85562563,54,2053339
"55","Hawaii",2019,484,89,484,89,0,0,0,0,0,0,8,842,19884,0,0,0,0,0,0,25273,14320,25273,307764,0,94,94,4812,4905,4714,353.3561319,848,59755992
"56","Idaho",2015,0,0,8871,1554,0,0,0,5.717,8871,1554,2207,81603,105046,1192,1.106,1078,0,172,30,153503,81,154866,540252,0,32130,32130,7455,39585,21156,88.42427593,258,1800615
"57","Idaho",2016,0,0,9206,1615,0,0,0,5.722,9206,1615,2167,83395,109756,5208,1.123,4637,0,1230,215,151509,390,157946,540164,0,31050,31050,1497,32547,23804,34.09544003,28,962061
"58","Idaho",2017,0,0,9367,1643,0,0,0,5.723,9367,1643,2280,98306,128436,4192,1.106,3791,0,521,91,173010,4405,177723,557104,0,33266,33266,1941,35206,23444,14.41948129,38,502817
"59","Idaho",2018,0,0,9324,1633,0,0,0,5.706,9324,1633,2259,100366,132184,2113,1.136,1860,0,502,88,178935,5388,181550,556467,0,36036,36036,1391,37427,24172,238.8326956,72,4068360
"60","Idaho",2019,0,0,8946,1571,0,0,0,5.698,8946,1571,2354,92017,122586,1139,1.103,1033,0,125,22,169244,5500,170508,565998,0,36240,36240,1471,37711,22715,144.537737,222,20155611
"61","Illinois",2015,19087,3513,230655,40575,1252879,22.282,56227,5.717,211568,37062,2042,1160,105293,2210,1.062,2080,1017377,54426,9520,355359,1938,2682250,3920125,0,8185,8185,11225,19411,100154,19.81846857,18,429104
"62","Illinois",2016,18598,3423,252801,44501,977131,22.424,43575,5.722,234203,41078,2042,1226,103746,2317,1.061,2183,1031331,49432,8639,375139,2033,2435349,3925630,0,7597,7597,10995,18592,98445,73.98337008,149,4220545
"63","Illinois",2017,17714,3260,243223,42808,1079624,22.351,48303,5.723,225509,39548,2042,1153,118502,2260,1.06,2131,1016522,47581,8314,378606,2285,2524593,3890442,0,7430,7430,9450,16880,113023,18.3418212,127,1317624
"64","Illinois",2018,18333,3374,226419,39823,1095887,22.147,49482,5.706,208086,36449,2042,1334,114443,2596,1.054,2464,1025651,48045,8420,359817,2739,2531996,4017644,0,8890,8890,10065,18955,108328,207.4305588,36,1325335
"65","Illinois",2019,17366,3196,218212,38456,1014448,22.103,45895,5.698,200846,35260,2042,1103,135410,2279,1.06,2150,1030996,46969,8243,372731,3503,2467422,3951620,0,9268,9268,9841,19109,128763,181.8275677,45,11391681
"66","Indiana",2015,11841,2179,155552,27354,776493,22.641,34295,5.717,143711,25175,4647,3553,51990,7446,1.027,7250,0,12686,2219,242141,1714,1038766,2826490,0,18061,18061,16538,34599,42077,62.60936987,130,1440764
"67","Indiana",2016,12981,2389,166925,29390,654493,22.752,28767,5.722,153944,27001,4647,3935,56205,6441,1.038,6205,0,10397,1817,257458,2391,928789,2777075,0,17951,17951,16378,34328,45232,126.8081795,76,2257870
"68","Indiana",2017,12711,2340,169356,29811,713397,22.668,31472,5.723,156644,27471,4647,2820,57387,6168,1.043,5914,0,10181,1779,260439,3032,990185,2674436,0,17548,17548,16148,33696,46889,189.1398596,98,1499474
"69","Indiana",2018,12630,2325,174262,30637,781628,22.592,34598,5.706,161632,28312,4647,2027,59866,5292,1.047,5054,0,9609,1684,271248,3693,1067776,2806168,0,20797,20797,16323,37120,49500,64.08973529,35,841616
"70","Indiana",2019,11434,2105,154618,27242,712235,22.569,31559,5.698,143184,25137,4647,2280,66440,5306,1.052,5044,0,8997,1579,257250,4160,983789,2779091,0,20438,20438,15754,36192,55354,60.46760995,65,1349074
"71","Iowa",2015,31304,5762,568234,99820,0,0,0,0,536929,94058,1281,8948,177203,0,0,0,54836,0,0,766862,419,821698,1507520,0,6967,6967,14458,21425,166555,16.15310799,41,795948
"72","Iowa",2016,38419,7071,585659,103054,0,0,0,0,547240,95983,1281,8464,195637,0,0,0,49185,0,0,801820,587,851005,1534622,0,6107,6107,14417,20524,185305,154.5188531,61,1293489
"73","Iowa",2017,36996,6810,610395,107368,0,0,0,0,573399,100558,1281,9526,208620,0,0,0,54528,0,0,837092,905,891620,1572298,0,5936,5936,12140,18077,196907,91.10054342,92,16796366
"74","Iowa",2018,47215,8690,641146,112725,0,0,0,0,593931,104035,1281,8420,205217,0,0,0,51181,0,0,865784,1291,916965,1633531,0,7254,7254,12166,19420,194225,119.0157079,520,10631411
"75","Iowa",2019,44240,8143,637409,112278,0,0,0,0,593169,104135,1281,7091,244222,0,0,0,54671,0,0,901961,1604,956633,1645247,0,8298,8298,12031,20330,234246,62.31469737,608,96309030
"76","Kansas",2015,288,53,66484,11649,4387,22.026,199,5.717,66196,11596,974,177,103733,318548,1.121,284184,90254,260015,45481,177374,87,850580,1101677,0,4487,4487,2671,7158,102495,31.13795175,90,2257495
"77","Kansas",2016,171,31,67755,11885,617,23.051,27,5.722,67585,11854,974,282,131653,281646,1.151,244795,86245,217116,37944,205800,125,791424,1092806,0,3973,3973,2418,6391,130272,124.895788,156,190472938
"78","Kansas",2017,147,27,69485,12187,0,0,0,5.723,69338,12160,974,269,172818,257200,1.171,219639,111367,205026,35825,248533,231,822127,1075697,0,3566,3566,2664,6230,171344,54.93206111,24,502584
"79","Kansas",2018,71,13,71581,12539,0,0,0,5.706,71510,12526,974,241,173694,237402,1.179,201390,95854,198084,34715,253321,345,784661,1136232,0,4874,4874,3171,8046,172134,48.35090988,199,4011050
"80","Kansas",2019,3249,598,76308,13424,0,0,0,5.698,73059,12826,974,182,189733,212665,1.162,183087,96565,189202,33205,273764,471,772196,1129559,0,4777,4777,2947,7724,188105,13.81151032,40,3111505
"81","Kentucky",2015,4524,833,8246,1485,1486019,24.189,61434,5.717,3723,652,2712,31717,34627,108080,1.127,95907,0,16362,2862,75319,198,1685780,1730308,0,30971,30971,1475,32445,0,105.6200444,34,597439
"82","Kentucky",2016,5658,1041,9693,1749,1041121,24.279,42881,5.722,4035,708,2712,32108,35186,102591,1.119,91640,0,14849,2595,76971,366,1235531,1704124,0,30577,30577,1514,32092,0,48.84541366,28,2015514
"83","Kentucky",2017,5989,1102,10054,1815,1015108,24.281,41807,5.723,4065,713,2712,41514,44707,101295,1.142,88715,0,14176,2477,89649,481,1220228,1662333,0,33288,33288,1600,34889,0,39.97099675,16,54082
"84","Kentucky",2018,5847,1076,9844,1776,955471,24.043,39740,5.706,3997,700,2712,40220,43651,96085,1.143,84047,0,12924,2265,90231,719,1154710,1744818,0,34301,34301,2435,36736,0,170.1509065,73,2403723
"85","Kentucky",2019,5848,1076,10658,1921,852990,23.621,36111,5.698,4810,844,2712,37682,41221,89339,1.147,77882,0,14273,2505,89293,827,1045895,1723238,0,34506,34506,2908,37414,0,205.3227286,132,775584
"86","Louisiana",2015,0,0,0,0,46879,13.633,3439,5.717,0,0,1842,9310,12672,1916410,1.062,1805197,160015,364396,63739,132249,1521,2619950,3911919,0,106587,106587,12990,119577,0,96.1010241,58,1341097
"87","Louisiana",2016,0,0,0,0,38499,13.761,2798,5.722,0,0,1842,10183,13876,1893803,1.061,1784396,179391,328643,57435,154742,1851,2595078,4030644,6011,128495,122484,12371,140865,0,37.66506368,162,104123811
"88","Louisiana",2017,0,0,0,0,27892,13.419,2079,5.723,0,0,1842,8349,12149,2238355,1.046,2139829,161171,295015,51549,142086,1958,2864519,4208312,5951,116924,110973,13013,129937,0,217.9773815,74,2394977
"89","Louisiana",2018,0,0,0,0,20436,13.778,1483,5.706,0,0,1842,10741,14773,2942607,1.039,2832404,179330,274413,48092,143245,2189,3560031,4245610,6711,113857,107146,14615,128472,0,9.588941638,10,489512
"90","Louisiana",2019,0,0,0,0,21251,13.82,1538,5.698,0,0,1842,12161,16254,3330380,1.037,3212318,145993,261527,45898,133669,2251,3892819,4282045,6692,102895,96203,14520,117414,0,72.25720541,77,22430291
"91","Maine",2015,43,8,43,8,0,0,0,0,0,0,72,31317,43787,0,0,0,0,0,0,161418,323,161418,424754,0,113815,113815,3773,117588,12075,14.80376576,32,76031784
"92","Maine",2016,60,11,60,11,0,0,0,0,0,0,72,27693,43575,0,0,0,0,0,0,141943,418,141943,392025,0,94739,94739,3570,98309,15391,101.3548028,60,1102457
"93","Maine",2017,55,10,55,10,0,0,0,0,0,0,72,31221,53363,0,0,0,0,0,0,148038,577,148038,384730,0,91105,91105,3515,94619,21493,656.7493464,176,83607077
"94","Maine",2018,55,10,55,10,0,0,0,0,0,0,72,29689,52233,0,0,0,0,0,0,149435,765,149435,388172,0,93851,93851,3295,97146,21707,58.82516698,114,612804
"95","Maine",2019,47,9,47,9,0,0,0,0,0,0,72,31162,54339,0,0,0,0,0,0,148456,897,148456,384261,0,91222,91222,2848,94070,22208,110.0640459,49,853133
"96","Maryland",2015,0,0,0,0,45587,23.72,1922,0,0,0,570,15127,24122,40,1.055,38,153140,0,0,47614,4375,246381,1424201,0,14425,14425,9067,23492,4050,5.913477445,37,873689
"97","Maryland",2016,0,0,0,0,37859,23.431,1616,0,0,0,570,12853,25123,36,1.051,34,154377,0,0,48237,6834,240509,1386648,0,14188,14188,8927,23115,4866,79.4036955,127,2515938
"98","Maryland",2017,0,0,0,0,42804,23.67,1808,0,0,0,570,18108,33197,34,1.047,32,158004,0,0,55339,9348,256180,1346703,0,12954,12954,9188,22142,5172,95.6153185,80,7777098
"99","Maryland",2018,0,0,0,0,30464,23.468,1298,0,0,0,570,25772,42987,14,1.042,13,156699,0,0,65963,11456,253139,1391698,0,14204,14204,8772,22975,5189,94.48890006,54,614068
"100","Maryland",2019,0,0,0,0,34661,23.562,1471,0,0,0,570,19485,37802,14,1.044,13,156765,0,0,55557,13115,246996,1355227,0,10199,10199,7556,17755,4633,61.25999315,23,1359346
"101","Massachusetts",2015,36,7,36,7,0,0,0,0,0,0,859,7709,23103,0,0,0,52236,0,0,62787,12535,115022,1468270,0,20876,20876,18772,39648,2000,33.72913017,18,13509662
"102","Massachusetts",2016,56,10,56,10,0,0,0,0,0,0,859,6578,26927,0,0,0,56628,0,0,65616,17495,122244,1426034,0,18928,18928,19705,38633,1995,108.5943783,104,2414699
"103","Massachusetts",2017,110,20,110,20,0,0,0,0,0,0,859,9558,34093,0,0,0,52788,0,0,68467,21532,121256,1431083,0,14920,14920,19345,34264,2143,64.17625679,469,2069460
"104","Massachusetts",2018,110,20,110,20,0,0,0,0,0,0,859,10320,41368,0,0,0,46437,0,0,75295,28177,121731,1469311,0,14310,14310,19505,33816,2012,90.47614096,46,1714281
"105","Massachusetts",2019,94,17,94,17,0,0,0,0,0,0,859,8687,40935,0,0,0,22734,0,0,74190,29511,96924,1464995,0,16238,16238,16923,33161,1877,356.5165476,786,30392556
"106","Michigan",2015,712,131,39033,6844,0,0,0,5.717,38321,6713,5193,13971,64720,114061,1.059,107664,306773,37504,6560,223234,853,681571,2826679,0,98215,98215,21266,119481,44702,88.77624019,181,1385451
"107","Michigan",2016,1300,239,40207,7063,0,0,0,5.722,38907,6824,5193,14442,64076,108450,1.063,102003,329999,32266,5639,216674,1089,687389,2806190,0,90056,90056,22336,112392,43351,33.8574222,40,788599
"108","Michigan",2017,1269,234,47787,8392,0,0,0,5.723,46518,8158,5193,15468,70181,102619,1.064,96451,338675,31597,5521,225919,1692,698809,2798055,0,85599,85599,22352,107951,47827,13.76698515,65,1636426
"109","Michigan",2018,1683,310,50752,8905,0,0,0,5.706,49068,8595,5193,14286,71467,95841,1.07,89572,318655,31058,5443,237163,2304,682717,2911393,0,92197,92197,22748,114945,49683,238.4284129,56,1239122
"110","Michigan",2019,1345,247,47973,8433,0,0,0,5.698,46629,8186,5193,14691,74520,90423,1.077,83969,343639,29493,5176,233688,2758,697242,2880159,0,92140,92140,19054,111194,51878,141.8352401,185,2884817
"111","Minnesota",2015,7761,1429,165989,29147,0,0,0,0,158228,27718,1075,7912,100589,0,0,0,125900,0,0,345949,473,471848,1813635,0,65241,65241,14129,79370,91129,20.43258289,14,1467132
"112","Minnesota",2016,9572,1762,168756,29682,0,0,0,0,159184,27920,1075,11157,104583,0,0,0,144970,0,0,351303,645,496273,1838918,0,63244,63244,14720,77964,91706,76.30357904,179,6233820
"113","Minnesota",2017,8987,1654,171550,30163,0,0,0,0,162563,28509,1075,11587,121517,0,0,0,145426,0,0,363504,6247,508930,1862210,0,56284,56284,14153,70437,102608,18.70279024,88,988061
"114","Minnesota",2018,9775,1799,176402,30986,0,0,0,0,166627,29187,1075,9591,118640,0,0,0,152657,0,0,366439,10437,519096,1940174,0,58812,58812,12585,71397,97537,205.9749865,32,1262924
"115","Minnesota",2019,9191,1692,180685,31799,0,0,0,0,171494,30107,1075,9404,120386,0,0,0,147280,0,0,366164,12265,513444,1900531,0,56250,56250,8843,65093,97642,175.8904931,46,4052088
"116","Mississippi",2015,1898,349,5911,1052,34528,10.984,3143,5.717,4012,703,958,0,988,60476,1.039,58181,122511,142485,24923,60419,29,420420,1085042,0,51479,51479,2042,53521,0,59.03202784,110,1454281
"117","Mississippi",2016,8006,1474,14736,2654,32349,11.272,2870,5.722,6731,1181,958,0,1031,50418,1.039,48504,61680,116649,20386,78133,73,339228,1071689,9243,60285,51042,2081,62366,0,116.7819997,99,1948714
"118","Mississippi",2017,6733,1239,13572,2439,32019,12.298,2604,5.723,6839,1199,958,0,1861,39719,1.033,38438,77027,101772,17783,71032,903,321569,1068298,7511,53355,45845,2243,55599,0,193.3738211,71,1216601
"119","Mississippi",2018,8408,1548,15206,2738,31979,10.878,2940,5.706,6798,1191,958,0,4039,36499,1.026,35564,72343,96734,16953,76639,3080,314194,1105822,8301,55962,47660,1432,57394,0,64.71316897,44,5852232
"120","Mississippi",2019,5811,1070,5811,1070,28423,10.537,2697,5.698,0,0,958,0,3966,34280,1.029,33307,115202,96171,16878,66401,3007,340476,1093230,8278,55062,46784,1563,56625,0,55.040273,48,6343700
"121","Missouri",2015,17585,3237,54724,9743,3178,22.992,138,5.717,37139,6506,352,14864,26386,1,1.012,1,109182,852,149,105635,1542,218848,1831407,0,22108,22108,2417,24526,9627,15.37643854,42,2223059
"122","Missouri",2016,21036,3872,58928,10518,5125,21.912,234,5.722,37892,6646,352,11711,24297,1,1.024,1,98630,704,123,105876,1876,210336,1781656,0,20211,20211,2441,22652,10357,155.6806782,37,1287282
"123","Missouri",2017,22091,4066,61025,10894,5321,21.776,244,5.723,38934,6828,352,10886,32395,1,1.01,1,86853,664,116,116838,2433,209676,1742207,0,19183,19183,4235,23417,18724,91.27720044,74,2726558
"124","Missouri",2018,27470,5056,66502,11893,5654,21.837,259,5.706,39032,6837,352,7542,36681,1,1.024,1,111401,548,96,131345,2980,248948,1860863,0,24807,24807,3355,28161,25807,124.5052275,316,4957942
