"","State","Year","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","CO2.Emissions..Mmt.","TotalNumberofInvestments","TotalAmountofAssistance"
"125","Missouri",2019,25641,4719,63218,11316,4227,22.335,189,5.698,37578,6597,352,19733,49069,1,1.024,1,95961,484,85,140354,3534,241027,1805708,0,24120,24120,3946,28066,25450,60.46289527,379,2686540
"126","Montana",2015,0,0,0,0,746222,17.825,41864,5.717,0,0,337,92144,110876,55943,1.089,51356,0,163249,28555,125018,85,1090432,403641,0,13759,13759,383,14143,18309,31.25081171,93,1091494
"127","Montana",2016,3,1,3,1,572787,17.714,32336,5.722,0,0,337,93082,113287,52130,1.088,47921,0,132625,23178,128095,110,885637,406422,0,14414,14414,392,14805,19758,121.1493749,149,235434075
"128","Montana",2017,2,0,2,0,624772,17.733,35232,5.723,0,0,337,100850,121314,50821,1.097,46311,0,118586,20721,136249,275,930429,422863,0,14543,14543,389,14933,19852,56.92163503,19,477713
"129","Montana",2018,1,0,1,0,684031,17.716,38610,5.706,0,0,337,103828,124266,47712,1.096,43530,0,123027,21561,143018,497,997789,436316,0,18334,18334,417,18751,19604,47.87762064,263,3743400
"130","Montana",2019,1,0,1,0,608890,17.666,34468,5.698,0,0,337,89090,111051,47967,1.102,43534,0,130946,22981,129217,489,917020,445912,0,17772,17772,393,18165,21135,13.51181074,39,1307930
"131","Nebraska",2015,126,23,266404,46669,0,0,0,5.717,266278,46646,1212,15702,46594,504,1.057,477,107976,15419,2697,317158,41,441057,857967,0,2958,2958,1203,4161,29639,99.35210038,48,881961
"132","Nebraska",2016,3464,638,282138,49516,0,0,0,5.722,278674,48878,1212,7906,44275,557,1.059,526,97798,12560,2195,330919,90,441834,870370,0,2843,2843,1663,4506,35067,49.62030346,47,5893114
"133","Nebraska",2017,6295,1159,290063,50924,0,0,0,5.723,283769,49765,1212,13719,61990,483,1.061,455,72300,11978,2093,355970,220,440731,873303,0,2330,2330,1587,3917,46840,40.20696595,33,311016629
"134","Nebraska",2018,5916,1089,289782,50812,0,0,0,5.706,283866,49723,1212,12582,64686,459,1.06,433,58884,11732,2056,359674,373,430748,909065,0,3394,3394,1811,5205,50519,165.8301752,52,789556
"135","Nebraska",2019,3159,581,288633,50698,0,0,0,5.698,285474,50117,1212,11935,77807,411,1.07,384,72589,10883,1910,371935,446,455818,907219,0,3699,3699,1796,5495,64215,205.0608887,118,10274821
"136","Nevada",2015,0,0,0,0,0,0,0,5.717,0,0,30535,21099,72737,4,1.042,4,0,1606,281,75369,18216,76979,697627,0,2346,2346,286,2632,2886,93.44516627,41,2449186
"137","Nevada",2016,0,0,0,0,0,0,0,5.722,0,0,32506,16518,85523,3,1.041,3,0,1585,277,88587,33324,90175,727193,0,2291,2291,773,3064,3175,38.79038331,129,137275588
"138","Nevada",2017,0,0,0,0,0,0,0,5.723,0,0,31876,16700,94965,3,1.039,3,0,1637,286,98128,43060,99768,757955,0,2320,2320,843,3163,3329,215.2868489,53,2661655
"139","Nevada",2018,0,0,0,0,0,0,0,5.706,0,0,33066,17127,101584,3,1.037,3,0,1455,255,105656,48548,107114,776588,0,3273,3273,799,4072,2844,9.965275351,12,547069
"140","Nevada",2019,0,0,0,0,0,0,0,5.698,0,0,36359,19966,109226,5,1.043,5,0,1527,268,113331,49969,114864,779141,0,3196,3196,909,4105,2933,69.96242998,84,68063288
"141","New Hampshire",2015,262,48,262,48,0,0,0,0,0,0,29,11837,16105,0,0,0,99186,0,0,61342,292,160528,316649,0,40598,40598,4377,44976,3947,14.65586638,18,3225820
"142","New Hampshire",2016,399,73,399,73,0,0,0,0,0,0,29,10574,15141,0,0,0,112551,0,0,56290,547,168841,307290,0,36335,36335,4415,40750,3991,97.40767095,28,889496
"143","New Hampshire",2017,245,45,245,45,0,0,0,0,0,0,29,13022,17718,0,0,0,104493,0,0,59871,875,164364,317785,0,37268,37268,4640,41908,3792,664.9673475,219,98254981
"144","New Hampshire",2018,276,51,276,51,0,0,0,0,0,0,29,12336,17123,0,0,0,105195,0,0,56145,1056,161340,325655,0,34988,34988,3758,38747,3702,59.03113555,56,15437033
"145","New Hampshire",2019,312,57,312,57,0,0,0,0,0,0,29,13019,18137,0,0,0,113890,0,0,56018,1229,169909,319667,0,33945,33945,3624,37569,3859,105.5838769,35,5764689
"146","New Jersey",2015,1191,219,1191,219,0,0,0,0,0,0,466,89,21721,0,0,0,347851,0,0,45205,20966,393056,2183497,0,6465,6465,15827,22292,201,5.831030624,23,4591717
"147","New Jersey",2016,1246,229,1246,229,0,0,0,0,0,0,466,88,23007,0,0,0,312569,0,0,46546,22261,359115,2140838,0,5994,5994,16299,22293,192,79.11865344,104,6910234
"148","New Jersey",2017,191,35,191,35,0,0,0,0,0,0,466,126,26428,0,0,0,355948,0,0,45602,25630,401550,2089145,0,3044,3044,15938,18982,207,98.64308793,95,2622475
"149","New Jersey",2018,0,0,0,0,0,0,0,0,0,0,466,324,29225,0,0,0,334373,0,0,48517,28230,382890,2194123,0,3690,3690,15601,19291,206,90.84162772,88,673413
"150","New Jersey",2019,0,0,0,0,0,0,0,0,0,0,466,236,32602,0,0,0,278147,0,0,49363,31705,327510,2098952,0,3303,3303,13457,16761,196,62.79648656,47,413987
"151","New Mexico",2015,0,0,0,0,357525,18.168,19679,5.717,0,0,458,927,28119,1436329,1.154,1245145,0,846659,148095,38811,7257,2679324,681082,0,10131,10131,561,10692,19477,34.51458857,44,18236626
"152","New Mexico",2016,0,0,0,0,246549,18.48,13341,5.722,0,0,499,1366,43741,1422598,1.157,1229647,0,839040,146634,54822,8591,2563009,673638,0,10673,10673,407,11080,33285,112.3554714,75,1844186
"153","New Mexico",2017,0,0,0,0,257710,18.616,13844,5.723,0,0,487,1780,57673,1506770,1.159,1299732,0,986514,172377,67408,13076,2818402,684366,0,9312,9312,423,9735,42330,70.78614615,414,79970512
"154","New Mexico",2018,0,0,0,0,200179,18.549,10792,5.706,0,0,487,1361,72070,1734539,1.162,1493081,0,1421610,249143,85241,14764,3441568,703100,0,12703,12703,468,13171,55457,94.09550866,48,539053
"155","New Mexico",2019,0,0,0,0,268307,18.459,14536,5.698,0,0,885,1409,78715,2068295,1.169,1769086,0,1891645,331984,94063,15047,4322310,738484,0,14994,14994,354,15348,61374,358.5947178,749,28208367
"156","New York",2015,13,2,19793,3467,0,0,0,5.717,19780,3465,1185,242429,288404,17879,1.032,17325,466457,1635,286,409139,7729,895110,3838544,0,67532,67532,33410,100942,37061,90.06168948,142,29876375
"157","New York",2016,0,0,21669,3801,0,0,0,5.722,21669,3801,1185,248232,296467,13942,1.031,13523,434791,1287,225,412994,10674,863014,3768794,0,61123,61123,33736,94858,36376,37.38424068,21,1486681
"158","New York",2017,0,0,21022,3687,0,0,0,5.723,21022,3687,1185,277725,330933,11760,1.032,11395,441029,1105,193,447680,13919,901574,3776092,0,60164,60164,35562,95725,38105,13.98931001,32,824222
"159","New York",2018,0,0,18885,3308,0,0,0,5.706,18885,3308,1185,269752,325023,10994,1.032,10653,448718,1261,221,442993,17686,903967,3946032,0,64730,64730,34356,99086,36401,242.0091133,62,49550089
"160","New York",2019,0,0,20042,3519,0,0,0,5.698,20042,3519,1185,272679,336052,11313,1.032,10962,468481,1561,274,452190,22509,933544,3841948,0,64965,64965,31131,96096,39680,141.9209237,192,7882488
"161","North Carolina",2015,256,47,256,47,0,0,0,0,0,0,967,44191,59028,0,0,0,440248,0,0,170008,13870,610256,2595919,0,101592,101592,9132,110724,0,20.30121291,22,5818783
"162","North Carolina",2016,425,78,425,78,0,0,0,0,0,0,967,40779,75202,0,0,0,447500,0,0,199520,33397,647020,2619589,17887,114422,96534,9472,123894,58,82.42756253,239,8883799
"163","North Carolina",2017,222,41,222,41,0,0,0,0,0,0,967,35175,89578,0,0,0,443192,0,0,215578,49099,658771,2575147,17708,115730,98021,10048,125778,4337,19.04276093,89,1198524
"164","North Carolina",2018,199,37,199,37,0,0,0,0,0,0,967,60136,123878,0,0,0,439915,0,0,248825,57834,688740,2685032,19969,115308,95339,9439,124748,4941,213.1001319,64,5112413
"165","North Carolina",2019,188,35,188,35,0,0,0,0,0,0,967,55084,129772,0,0,0,437683,0,0,254022,69062,691705,2656262,19912,113628,93716,10433,124061,4659,189.2161684,59,5700232
"166","North Dakota",2015,8545,1573,57786,10199,392183,13.617,28802,5.717,49241,8626,978,19516,81127,678977,1.44,471360,0,2456200,429631,141748,7,3669109,608353,0,865,865,1971,2835,60627,62.85277614,67,1041662
"167","North Dakota",2016,9254,1703,65607,11587,399856,14.219,28121,5.722,56353,9884,978,17652,94079,766865,1.441,531997,0,2161886,377820,162635,7,3491242,583657,0,1021,1021,1928,2949,75443,122.771335,77,2944583
"168","North Dakota",2017,10389,1912,79984,14117,394022,13.687,28788,5.723,69595,12205,978,23789,129426,857330,1.443,593998,0,2235455,390609,212086,7,3698893,633995,0,839,839,1837,2676,104653,194.74322,86,764829
"169","North Dakota",2018,9756,1796,79645,14038,399835,13.488,29643,5.706,69889,12242,978,28952,127650,993022,1.405,706552,0,2627271,460440,209189,8,4229317,663153,0,837,837,1057,1894,97712,64.10739497,46,3360964
"170","North Dakota",2019,9718,1789,80390,14196,361946,13.407,26997,5.698,70672,12407,978,28312,129152,1187235,1.395,850826,0,2949752,517682,211395,11,4710328,683875,0,839,839,1014,1853,99852,61.68531518,61,2306029
"171","Ohio",2015,6914,1273,84018,14780,417682,24.51,17041,5.717,77105,13507,3435,4256,20579,1171552,1.163,1007270,181726,152650,26701,164904,1678,2088513,3708157,0,45462,45462,14845,60307,11211,14.76307256,41,2491389
"172","Ohio",2016,8675,1597,88369,15575,309088,24.601,12564,5.722,79695,13978,3435,4619,21425,1647241,1.146,1437285,175893,123595,21600,166682,1874,2422499,3667777,0,41902,41902,14986,56888,11497,163.7174435,56,936266
"173","Ohio",2017,9117,1678,92214,16251,233560,24.614,9489,5.723,83098,14573,3435,2555,23060,2009410,1.122,1791359,184997,114517,20010,167037,2435,2709522,3616508,0,36933,36933,14829,51762,14635,94.75605009,154,55322766
"174","Ohio",2018,8945,1647,95328,16778,219942,24.458,8993,5.706,86382,15131,3435,2222,24344,2652291,1.104,2403382,191483,129954,22775,172901,2755,3366571,3762435,0,38942,38942,14287,53229,15932,124.7805316,185,3637928
"175","Ohio",2019,7944,1462,93011,16396,192413,24.735,7779,5.698,85066,14934,3435,3585,28481,2901090,1.094,2651631,177624,159327,27962,174087,3269,3604541,3637669,0,38646,38646,13949,52595,18192,63.23252555,469,3767073
"176","Oklahoma",2015,3486,642,3486,642,17422,22.33,780,5.717,0,0,24,24825,155674,2880137,1.152,2499599,0,949416,166069,187199,71,4034174,1625556,0,22227,22227,5812,28038,130754,31.25796736,114,2449554
"177","Oklahoma",2016,4466,822,4466,822,14440,22.072,654,5.722,0,0,24,23758,209175,2864577,1.161,2468312,0,885142,154691,243569,115,4007728,1624919,0,22216,22216,7712,29928,185278,124.2127343,132,141776088
"178","Oklahoma",2017,4644,855,4644,855,12590,22.428,561,5.723,0,0,24,18760,236582,2936597,1.168,2513896,0,949291,165873,274848,382,4173327,1647508,0,28016,28016,5606,33622,217416,59.282972,30,520857
"179","Oklahoma",2018,4496,828,4496,828,15121,21.108,716,5.706,0,0,24,18526,268128,3346437,1.164,2875787,0,1140196,199824,308589,691,4810343,1715294,0,30026,30026,5939,35965,248887,52.35500953,271,4330170
"180","Oklahoma",2019,4115,757,4115,757,5153,22.665,227,5.698,0,0,24,34758,293834,3545508,1.168,3036052,0,1228381,215581,332320,734,5111362,1684997,0,28447,28447,5924,34371,258317,14.23973227,37,636384
"181","Oregon",2015,1183,218,6587,1164,0,0,0,0,5404,947,2898,291255,358382,889,1.048,848,0,0,0,438941,2430,439830,971766,0,67931,67931,6041,73972,61799,105.0688845,20,852979
"182","Oregon",2016,1394,257,6548,1161,0,0,0,0,5153,904,2928,318960,391102,848,1.059,801,0,0,0,468111,3140,468959,988158,0,64827,64827,5634,70461,66075,45.85390881,22,755535
"183","Oregon",2017,1481,273,7011,1242,0,0,0,0,5530,970,2839,352802,417834,700,1.062,659,0,0,0,501442,4827,502142,1041344,0,70785,70785,5813,76598,57366,41.38306985,57,535889
"184","Oregon",2018,1574,290,7251,1284,0,0,0,0,5677,994,2837,322671,401773,529,1.061,499,0,0,0,486994,8464,487523,1021526,0,72116,72116,5854,77970,67802,175.0969653,60,13144827
"185","Oregon",2019,1495,275,6579,1168,0,0,0,0,5084,892,2884,270017,340834,420,1.053,399,0,0,0,426391,9437,426811,1027578,0,73558,73558,5420,78977,58496,208.9666748,52,6168918
"186","Pennsylvania",2015,3216,592,16251,2875,1278078,25.124,50872,5.717,13035,2283,2162,24264,61427,5119772,1.064,4812983,842044,40522,7088,200534,3758,7480950,3897610,0,81888,81888,40968,122856,31244,98.01036447,23,1495639
"187","Pennsylvania",2016,4761,876,18865,3350,1168609,25.468,45885,5.722,14104,2474,2162,21922,60247,5525743,1.061,5210208,867302,35888,6272,196773,4071,7794315,3762485,0,76880,76880,40781,117661,32093,39.58013113,96,3286698
"188","Pennsylvania",2017,5515,1015,18741,3335,1260516,25.656,49131,5.723,13227,2320,2162,28775,68701,5769945,1.058,5453638,870187,37554,6562,204952,4684,8143154,3766880,0,76403,76403,41107,117510,33080,220.1938915,57,10494432
"189","Pennsylvania",2018,8265,1521,20894,3733,1278056,25.577,49968,5.706,12628,2212,2162,38799,78545,6632662,1.059,6264832,872749,36963,6478,220486,5111,9040917,3933425,0,81527,81527,39520,121047,32473,11.05692381,15,661136
"190","Pennsylvania",2019,5557,1023,20133,3582,1250902,24.979,50078,5.698,14576,2559,2162,31195,68176,7296205,1.058,6896792,869084,37362,6557,201783,5873,9655336,3818814,0,78020,78020,35453,113473,28946,74.14674879,123,64580916
"191","Rhode Island",2015,94,17,94,17,0,0,0,0,0,0,57,29,477,0,0,0,0,0,0,4886,298,4886,202693,0,2146,2146,2170,4315,94,15.52399536,38,3826069
"192","Rhode Island",2016,130,24,130,24,0,0,0,0,0,0,57,20,771,0,0,0,0,0,0,4700,450,4700,185173,0,1688,1688,2110,3799,245,93.83598219,31,4038180
"193","Rhode Island",2017,156,29,156,29,0,0,0,0,0,0,57,22,2129,0,0,0,0,0,0,5967,679,5967,182325,0,1645,1645,2037,3682,1372,684.6895943,261,46570295
"194","Rhode Island",2018,305,56,305,56,0,0,0,0,0,0,57,37,2710,0,0,0,0,0,0,6663,1173,6663,195556,0,1511,1511,2136,3647,1444,61.24871623,41,668749
"195","Rhode Island",2019,546,100,546,100,0,0,0,0,0,0,57,32,4057,0,0,0,0,0,0,8797,2131,8797,190581,0,2075,2075,2120,4194,1836,110.0554883,37,2735678
"196","South Carolina",2015,328,60,328,60,0,0,0,0,0,0,648,23897,24686,0,0,0,555909,0,0,128618,140,684526,1663373,0,98906,98906,4698,103604,0,5.854279866,23,493740
"197","South Carolina",2016,0,0,0,0,0,0,0,0,0,0,648,20551,21612,0,0,0,583883,0,0,131043,412,714927,1658202,6011,104947,98936,4484,109432,0,78.65855426,104,3061489
"198","South Carolina",2017,0,0,0,0,0,0,0,0,0,0,648,16906,19592,0,0,0,568390,0,0,132533,2037,700923,1647778,5951,108601,102650,4340,112941,0,101.1727696,75,2067441
"199","South Carolina",2018,0,0,0,0,0,0,0,0,0,0,648,27437,35034,0,0,0,551151,0,0,147096,6949,698247,1675118,6992,107525,100533,4537,112062,0,89.14479553,48,946699
"200","South Carolina",2019,0,0,0,0,0,0,0,0,0,0,648,26503,37758,0,0,0,585828,0,0,149844,10607,735672,1640751,8179,107922,99742,4164,112086,0,63.84608066,53,573639
"201","South Dakota",2015,0,0,152177,26658,0,0,0,5.717,152177,26658,1868,45202,70354,614,1.111,552,0,9507,1663,225499,10,235620,389999,0,2545,2545,424,2968,23274,34.25944031,32,13734021
"202","South Dakota",2016,0,0,154087,27026,0,0,0,5.722,154087,27026,1868,44365,80538,511,1.124,455,0,8045,1406,237289,15,245846,388097,0,2146,2146,519,2665,34290,106.2507516,54,840218
"203","South Dakota",2017,0,0,160796,28199,0,0,0,5.723,160796,28199,1868,48419,77574,531,1.115,476,0,7463,1304,241029,32,249023,394141,0,2116,2116,544,2660,27255,65.07220242,302,60034678
"204","South Dakota",2018,0,0,165485,28987,0,0,0,5.706,165485,28987,1868,57048,84755,494,1.105,447,0,7264,1273,254033,29,261791,406677,0,3218,3218,575,3793,25810,92.53702529,29,95135122
"205","South Dakota",2019,0,0,164101,28809,0,0,0,5.698,164101,28809,1868,70484,97224,450,1.088,414,0,6644,1166,264674,33,271768,405954,0,2807,2807,543,3350,24839,358.1643733,609,158244985
"206","Tennessee",2015,184,34,23845,4179,23192,25.841,897,5.717,23661,4145,213,89288,91221,4959,1.16,4276,261037,1692,296,182019,1294,472899,2179722,0,61479,61479,5474,66953,427,91.72734664,96,10796826
"207","Tennessee",2016,250,46,25503,4475,16596,25.771,644,5.722,25253,4429,213,62538,64645,4180,1.16,3603,309357,1471,257,154183,1546,485787,2207227,0,58624,58624,5411,64036,348,36.63166173,19,1306178
"208","Tennessee",2017,244,45,25649,4500,11168,25.905,431,5.723,25404,4455,213,80071,82362,3515,1.179,2982,332779,1551,271,166421,1679,515435,2145679,0,52821,52821,5589,58411,399,13.58957516,40,1485254
"209","Tennessee",2018,2721,501,27703,4877,5922,25.521,232,5.706,24982,4376,213,93705,96669,3737,1.138,3283,378224,1198,210,186147,2378,575228,2233190,134,56329,56195,5446,61775,373,233.5527795,53,52936642
"210","Tennessee",2019,4025,741,28391,5018,11341,26.016,436,5.698,24366,4278,213,90206,94526,3221,1.037,3107,372992,1202,211,181028,3769,569785,2171765,1606,54487,52880,3625,58111,338,136.4670209,191,2374660
"211","Texas",2015,18977,3493,66021,11734,471257,13.12,35918,5.717,47044,8241,2478,8913,435590,9392314,1.19,7890459,411571,7213013,1261678,583008,6397,18071163,12757827,0,54367,54367,27029,81397,417802,20.51554679,14,329849
"212","Texas",2016,22916,4218,71381,12718,515707,13.223,39001,5.722,48465,8500,2478,12389,556938,8659990,1.199,7225471,440109,6683754,1168080,709194,10946,17008753,12986076,0,53208,53208,27667,80874,531124,77.29621466,120,3041432
"213","Texas",2017,25313,4659,74708,13322,474274,13.036,36382,5.723,49395,8663,2478,9784,655250,8735219,1.209,7223841,403523,7297941,1275195,810455,25155,17721412,13173303,0,55169,55169,25328,80497,617833,20.08591692,60,910270
"214","Texas",2018,29389,5409,76580,13675,328812,13.247,24823,5.706,47192,8266,2478,10255,738209,9776991,1.216,8041010,430597,9181148,1609034,901492,36299,20619040,14009870,0,59316,59316,27387,86703,689177,203.43232,84,11321378
"215","Texas",2019,27689,5096,68502,12261,308449,13.234,23307,5.698,40813,7165,2478,13139,808642,11323138,1.207,9378489,431234,10608326,1861763,963581,48385,23634727,14234096,5532,64868,59336,21569,86437,744639,176.1079655,52,1593785
"216","Utah",2015,9,2,9,2,325216,22.555,14419,5.717,0,0,4811,7164,18788,461219,1.106,417020,0,212307,37136,23993,980,1022734,798313,0,3765,3765,1430,5195,5833,60.4526702,43,992149
"217","Utah",2016,0,0,0,0,310453,22.223,13970,5.722,0,0,5287,7012,31057,401909,1.1,365269,0,174681,30528,36562,11167,923606,807711,0,3981,3981,1523,5504,7591,115.3817286,63,1092217
"218","Utah",2017,0,0,0,0,317768,22.182,14326,5.723,0,0,5239,11919,48162,346868,1.1,315211,0,197089,34438,53282,23097,915007,827453,0,3910,3910,1211,5120,7907,194.892652,67,250695185
"219","Utah",2018,0,0,0,0,305328,22.42,13619,5.706,0,0,4866,8440,44435,326320,1.103,295826,0,211790,37117,50358,23895,893795,844319,0,4963,4963,959,5922,7234,63.32557454,30,1860604
"220","Utah",2019,0,0,0,0,326024,22.632,14405,5.698,0,0,3572,7793,42278,299544,1.102,271808,0,210450,36934,48225,23623,884243,855124,0,5028,5028,919,5947,7290,56.87149823,73,1428319
"221","Vermont",2015,0,0,0,0,0,0,0,0,0,0,29,10619,14724,0,0,0,0,0,0,38784,1044,38784,140546,0,23753,23753,307,24060,3032,14.42640502,41,1093090
"222","Vermont",2016,0,0,0,0,0,0,0,0,0,0,29,9948,14000,0,0,0,0,0,0,35637,1335,35637,135276,0,21418,21418,220,21638,2688,159.2399805,65,2360732
"223","Vermont",2017,0,0,0,0,0,0,0,0,0,0,29,11796,16668,0,0,0,0,0,0,37792,2029,37792,134076,0,20957,20957,167,21124,2814,92.08969013,140,29572563
"224","Vermont",2018,0,0,0,0,0,0,0,0,0,0,29,11546,17225,0,0,0,0,0,0,41553,2252,41553,138642,0,24190,24190,137,24327,3399,116.985714,177,3478408
"225","Vermont",2019,0,0,0,0,0,0,0,0,0,0,29,11906,18063,0,0,0,0,0,0,40997,2767,40997,136905,0,22287,22287,646,22933,3361,62.54458802,269,2609443
"226","Virginia",2015,259,48,6036,1060,365832,25.546,14321,5.717,5777,1012,1701,10795,13300,134220,1.052,127586,293455,63,11,137589,803,931160,2440821,0,97882,97882,20371,118254,0,32.28539515,61,618074
"227","Virginia",2016,427,79,3632,641,335590,25.12,13359,5.722,3205,562,1701,13585,16391,126663,1.053,120288,310966,40,7,139807,1105,913066,2420341,7829,100463,92635,19320,119784,0,122.6043034,115,126884709
"228","Virginia",2017,440,81,7654,1346,343642,25.079,13702,5.723,7215,1265,1701,10285,16020,121571,1.053,115452,319562,40,7,140979,4034,925794,2401427,7750,101834,94084,15470,117304,0,57.15288871,18,759349
"229","Virginia",2018,699,129,6898,1214,318949,24.512,13012,5.706,6199,1086,1701,16067,26009,117273,1.052,111476,305826,29,5,159914,8240,901990,2501044,8740,106680,97941,20327,127007,0,50.47008377,206,2293019
"230","Virginia",2019,323,60,853,153,320290,25.687,12469,5.698,530,93,1701,13529,25398,111869,1.052,106366,308013,34,6,142651,10167,882858,2460902,8715,97967,89252,18433,116400,0,13.9338009,26,739179
"231","Washington",2015,7251,1335,7251,1335,0,0,0,0,0,0,1136,684060,751781,0,0,0,85347,0,0,872328,649,957675,1995985,0,104876,104876,8421,113296,65936,100.8319854,17,314035
"232","Washington",2016,8373,1541,8373,1541,0,0,0,0,0,0,1136,723289,799624,0,0,0,100674,0,0,930780,957,1031454,2056396,0,114342,114342,8441,122783,74242,48.94208108,12,1493382
"233","Washington",2017,9204,1694,9204,1694,0,0,0,0,0,0,1136,757151,823289,0,0,0,85013,0,0,950220,1201,1035233,2075340,0,109704,109704,8023,117726,63801,41.74259297,22,201782
"234","Washington",2018,10049,1850,10049,1850,0,0,0,0,0,0,1136,736362,810926,0,0,0,101502,0,0,937724,1506,1039226,2054390,0,109222,109222,7526,116749,71922,168.9712856,69,30602444
"235","Washington",2019,9826,1808,9826,1808,0,0,0,0,0,0,1136,587893,650831,0,0,0,92584,0,0,779076,2341,871660,2078663,0,110500,110500,7919,118419,59461,196.6865897,44,2756315
"236","West Virginia",2015,0,0,0,0,2447181,25.589,95633,5.717,0,0,32,12907,25858,1562536,1.188,1315248,0,66157,11572,37954,93,4113828,768657,0,11941,11941,155,12096,12825,90.83789996,13,645165
"237","West Virginia",2016,0,0,0,0,2041073,25.57,79823,5.722,0,0,32,15124,28482,1667404,1.204,1384458,0,43693,7636,39653,104,3791823,762366,0,11081,11081,90,11171,13222,41.83917874,75,13382214
"238","West Virginia",2017,0,0,0,0,2390309,25.752,92821,5.723,0,0,32,15280,30937,1836375,1.213,1514278,0,49372,8627,41643,126,4317700,753016,0,10632,10632,75,10706,15499,218.7358219,58,2943270
"239","West Virginia",2018,0,0,0,0,2468639,25.847,95510,5.706,0,0,32,16821,33107,2159553,1.219,1771698,0,72689,12739,45418,140,4746299,831311,0,12087,12087,225,12311,16114,10.36524019,17,8838243
"240","West Virginia",2019,0,0,0,0,2422224,25.927,93425,5.698,0,0,32,15192,29912,2598072,1.205,2155214,0,98325,17256,41973,163,5160593,829454,0,11833,11833,227,12060,14525,69.44598066,49,53928982
"241","Wisconsin",2015,2614,481,79450,13941,0,0,0,0,76836,13460,615,21813,37744,0,0,0,104666,0,0,223881,505,328547,1814408,0,97353,97353,9334,106687,14811,15.97796876,21,538508
"242","Wisconsin",2016,3245,597,82079,14424,0,0,0,0,78834,13827,615,25806,40993,0,0,0,106173,0,0,224249,583,330423,1801012,0,91748,91748,9430,101178,13989,92.23669942,45,6964195
"243","Wisconsin",2017,1894,349,83624,14682,0,0,0,0,81729,14333,615,24481,41165,0,0,0,100919,0,0,224172,953,325091,1817947,0,90051,90051,9333,99384,15116,683.2325698,122,9605822
"244","Wisconsin",2018,2953,544,89233,15657,0,0,0,0,86279,15113,615,21777,38588,0,0,0,105900,0,0,232096,1287,337996,1896601,0,95231,95231,9044,104275,14909,61.50322731,71,448561
"245","Wisconsin",2019,3491,643,88934,15643,0,0,0,0,85442,15000,615,23518,42338,0,0,0,104736,0,0,232452,1483,337188,1847846,0,92350,92350,8831,101181,16722,106.76702,34,4195235
"246","Wyoming",2015,0,0,1192,209,6538240,17.399,375773,5.717,1192,209,663,8091,43791,1998295,1.105,1808519,0,494355,86471,49887,27,9080777,507121,0,4904,4904,2,4905,35009,6.020390617,27,1121855
"247","Wyoming",2016,0,0,0,0,5169939,17.394,297218,5.722,0,0,663,8987,50206,1878141,1.129,1662909,0,415795,72666,54565,33,7518440,504984,0,4357,4357,2,4358,40522,84.16948233,88,18389113
"248","Wyoming",2017,0,0,0,0,5516757,17.433,316454,5.723,0,0,663,10352,50867,1788258,1.125,1590059,0,433655,75774,55916,45,7794586,534840,0,5049,5049,0,5049,39806,94.82242355,103,2915140
"249","Wyoming",2018,0,0,0,0,5315953,17.476,304188,5.706,0,0,663,8883,46550,1842525,1.125,1637517,0,502031,87983,51483,67,7711992,557604,0,4934,4934,0,4934,36936,85.44599619,44,790383
"250","Wyoming",2019,0,0,0,0,4828513,17.437,276912,5.698,0,0,663,8838,48259,1684374,1.131,1488854,0,582170,102171,53228,1688,7148285,546671,0,4969,4969,0,4969,37070,59.09664881,32,570570
