"","State","Year","Population"
"1","Alaska","2015","738"
"2","Alabama","2015","4,855"
"3","Arkansas","2015","2,980"
"4","Arizona","2015","6,833"
"5","California","2015","38,904"
"6","Colorado","2015","5,454"
"7","Connecticut","2015","3,589"
"8","Delaware","2015","942"
"9","Florida","2015","20,219"
"10","Georgia","2015","10,183"
"11","Hawaii","2015","1,423"
"12","Iowa","2015","3,123"
"13","Idaho","2015","1,652"
"14","Illinois","2015","12,860"
"15","Indiana","2015","6,611"
"16","Kansas","2015","2,911"
"17","Kentucky","2015","4,429"
"18","Louisiana","2015","4,667"
"19","Massachusetts","2015","6,797"
"20","Maryland","2015","5,989"
"21","Maine","2015","1,329"
"22","Michigan","2015","9,934"
"23","Minnesota","2015","5,484"
"24","Missouri","2015","6,075"
"25","Mississippi","2015","2,990"
"26","Montana","2015","1,031"
"27","North Carolina","2015","10,037"
"28","North Dakota","2015","756"
"29","Nebraska","2015","1,892"
"30","New Hampshire","2015","1,337"
"31","New Jersey","2015","8,870"
"32","New Mexico","2015","2,090"
"33","Nevada","2015","2,869"
"34","New York","2015","19,657"
"35","Ohio","2015","11,622"
"36","Oklahoma","2015","3,911"
"37","Oregon","2015","4,019"
"38","Pennsylvania","2015","12,790"
"39","Rhode Island","2015","1,057"
"40","South Carolina","2015","4,896"
"41","South Dakota","2015","855"
"42","Tennessee","2015","6,595"
"43","Texas","2015","27,469"
"44","Utah","2015","2,984"
"45","Virginia","2015","8,367"
"46","Vermont","2015","626"
"47","Washington","2015","7,167"
"48","Wisconsin","2015","5,763"
"49","West Virginia","2015","1,843"
"50","Wyoming","2015","586"
"51","Alaska","2016","743"
"52","Alabama","2016","4,867"
"53","Arkansas","2016","2,992"
"54","Arizona","2016","6,945"
"55","California","2016","39,149"
"56","Colorado","2016","5,544"
"57","Connecticut","2016","3,580"
"58","Delaware","2016","950"
"59","Florida","2016","20,627"
"60","Georgia","2016","10,308"
"61","Hawaii","2016","1,429"
"62","Iowa","2016","3,133"
"63","Idaho","2016","1,684"
"64","Illinois","2016","12,822"
"65","Indiana","2016","6,638"
"66","Kansas","2016","2,913"
"67","Kentucky","2016","4,440"
"68","Louisiana","2016","4,681"
"69","Massachusetts","2016","6,827"
"70","Maryland","2016","6,007"
"71","Maine","2016","1,332"
"72","Michigan","2016","9,954"
"73","Minnesota","2016","5,525"
"74","Missouri","2016","6,091"
"75","Mississippi","2016","2,991"
"76","Montana","2016","1,042"
"77","North Carolina","2016","10,162"
"78","North Dakota","2016","756"
"79","Nebraska","2016","1,906"
"80","New Hampshire","2016","1,344"
"81","New Jersey","2016","8,874"
"82","New Mexico","2016","2,093"
"83","Nevada","2016","2,920"
"84","New York","2016","19,636"
"85","Ohio","2016","11,640"
"86","Oklahoma","2016","3,928"
"87","Oregon","2016","4,093"
"88","Pennsylvania","2016","12,788"
"89","Rhode Island","2016","1,058"
"90","South Carolina","2016","4,963"
"91","South Dakota","2016","864"
"92","Tennessee","2016","6,651"
"93","Texas","2016","27,914"
"94","Utah","2016","3,044"
"95","Virginia","2016","8,418"
"96","Vermont","2016","624"
"97","Washington","2016","7,300"
"98","Wisconsin","2016","5,775"
"99","West Virginia","2016","1,832"
"100","Wyoming","2016","585"
"101","Alaska","2017","741"
"102","Alabama","2017","4,878"
"103","Arkansas","2017","3,004"
"104","Arizona","2017","7,048"
"105","California","2017","39,338"
"106","Colorado","2017","5,617"
"107","Connecticut","2017","3,575"
"108","Delaware","2017","958"
"109","Florida","2017","20,977"
"110","Georgia","2017","10,417"
"111","Hawaii","2017","1,426"
"112","Iowa","2017","3,144"
"113","Idaho","2017","1,720"
"114","Illinois","2017","12,780"
"115","Indiana","2017","6,662"
"116","Kansas","2017","2,911"
"117","Kentucky","2017","4,456"
"118","Louisiana","2017","4,674"
"119","Massachusetts","2017","6,864"
"120","Maryland","2017","6,028"
"121","Maine","2017","1,336"
"122","Michigan","2017","9,977"
"123","Minnesota","2017","5,569"
"124","Missouri","2017","6,111"
"125","Mississippi","2017","2,991"
"126","Montana","2017","1,054"
"127","North Carolina","2017","10,276"
"128","North Dakota","2017","757"
"129","Nebraska","2017","1,917"
"130","New Hampshire","2017","1,350"
"131","New Jersey","2017","8,888"
"132","New Mexico","2017","2,093"
"133","Nevada","2017","2,972"
"134","New York","2017","19,594"
"135","Ohio","2017","11,666"
"136","Oklahoma","2017","3,934"
"137","Oregon","2017","4,147"
"138","Pennsylvania","2017","12,795"
"139","Rhode Island","2017","1,057"
"140","South Carolina","2017","5,027"
"141","South Dakota","2017","874"
"142","Tennessee","2017","6,715"
"143","Texas","2017","28,291"
"144","Utah","2017","3,104"
"145","Virginia","2017","8,471"
"146","Vermont","2017","625"
"147","Washington","2017","7,428"
"148","Wisconsin","2017","5,793"
"149","West Virginia","2017","1,819"
"150","Wyoming","2017","580"
"151","Alaska","2018","737"
"152","Alabama","2018","4,892"
"153","Arkansas","2018","3,012"
"154","Arizona","2018","7,164"
"155","California","2018","39,437"
"156","Colorado","2018","5,697"
"157","Connecticut","2018","3,575"
"158","Delaware","2018","967"
"159","Florida","2018","21,255"
"160","Georgia","2018","10,519"
"161","Hawaii","2018","1,423"
"162","Iowa","2018","3,150"
"163","Idaho","2018","1,752"
"164","Illinois","2018","12,725"
"165","Indiana","2018","6,698"
"166","Kansas","2018","2,913"
"167","Kentucky","2018","4,464"
"168","Louisiana","2018","4,664"
"169","Massachusetts","2018","6,886"
"170","Maryland","2018","6,042"
"171","Maine","2018","1,340"
"172","Michigan","2018","9,987"
"173","Minnesota","2018","5,609"
"174","Missouri","2018","6,126"
"175","Mississippi","2018","2,983"
"176","Montana","2018","1,062"
"177","North Carolina","2018","10,391"
"178","North Dakota","2018","760"
"179","Nebraska","2018","1,926"
"180","New Hampshire","2018","1,355"
"181","New Jersey","2018","8,892"
"182","New Mexico","2018","2,094"
"183","Nevada","2018","3,031"
"184","New York","2018","19,544"
"185","Ohio","2018","11,681"
"186","Oklahoma","2018","3,943"
"187","Oregon","2018","4,184"
"188","Pennsylvania","2018","12,809"
"189","Rhode Island","2018","1,059"
"190","South Carolina","2018","5,092"
"191","South Dakota","2018","879"
"192","Tennessee","2018","6,778"
"193","Texas","2018","28,625"
"194","Utah","2018","3,155"
"195","Virginia","2018","8,511"
"196","Vermont","2018","625"
"197","Washington","2018","7,527"
"198","Wisconsin","2018","5,809"
"199","West Virginia","2018","1,806"
"200","Wyoming","2018","579"
"201","Alaska","2019","734"
"202","Alabama","2019","4,908"
"203","Arkansas","2019","3,021"
"204","Arizona","2019","7,292"
"205","California","2019","39,438"
"206","Colorado","2019","5,758"
"207","Connecticut","2019","3,566"
"208","Delaware","2019","977"
"209","Florida","2019","21,492"
"210","Georgia","2019","10,628"
"211","Hawaii","2019","1,416"
"212","Iowa","2019","3,160"
"213","Idaho","2019","1,789"
"214","Illinois","2019","12,667"
"215","Indiana","2019","6,731"
"216","Kansas","2019","2,913"
"217","Kentucky","2019","4,472"
"218","Louisiana","2019","4,658"
"219","Massachusetts","2019","6,895"
"220","Maryland","2019","6,055"
"221","Maine","2019","1,346"
"222","Michigan","2019","9,985"
"223","Minnesota","2019","5,640"
"224","Missouri","2019","6,140"
"225","Mississippi","2019","2,978"
"226","Montana","2019","1,070"
"227","North Carolina","2019","10,501"
"228","North Dakota","2019","764"
"229","Nebraska","2019","1,933"
"230","New Hampshire","2019","1,361"
"231","New Jersey","2019","8,891"
"232","New Mexico","2019","2,100"
"233","Nevada","2019","3,091"
"234","New York","2019","19,463"
"235","Ohio","2019","11,697"
"236","Oklahoma","2019","3,961"
"237","Oregon","2019","4,216"
"238","Pennsylvania","2019","12,799"
"239","Rhode Island","2019","1,058"
"240","South Carolina","2019","5,158"
"241","South Dakota","2019","887"
"242","Tennessee","2019","6,830"
"243","Texas","2019","28,987"
"244","Utah","2019","3,203"
"245","Virginia","2019","8,557"
"246","Vermont","2019","624"
"247","Washington","2019","7,614"
"248","Wisconsin","2019","5,825"
"249","West Virginia","2019","1,795"
"250","Wyoming","2019","580"
"251","Alaska","2020","732"
"252","Alabama","2020","5,025"
"253","Arkansas","2020","3,012"
"254","Arizona","2020","7,178"
"255","California","2020","39,500"
"256","Colorado","2020","5,784"
"257","Connecticut","2020","3,600"
"258","Delaware","2020","992"
"259","Florida","2020","21,570"
"260","Georgia","2020","10,726"
"261","Hawaii","2020","1,452"
"262","Iowa","2020","3,189"
"263","Idaho","2020","1,848"
"264","Illinois","2020","12,785"
"265","Indiana","2020","6,786"
"266","Kansas","2020","2,936"
"267","Kentucky","2020","4,504"
"268","Louisiana","2020","4,651"
"269","Massachusetts","2020","7,022"
"270","Maryland","2020","6,173"
"271","Maine","2020","1,362"
"272","Michigan","2020","10,068"
"273","Minnesota","2020","5,707"
"274","Missouri","2020","6,154"
"275","Mississippi","2020","2,957"
"276","Montana","2020","1,086"
"277","North Carolina","2020","10,457"
"278","North Dakota","2020","779"
"279","Nebraska","2020","1,961"
"280","New Hampshire","2020","1,378"
"281","New Jersey","2020","9,280"
"282","New Mexico","2020","2,118"
"283","Nevada","2020","3,114"
"284","New York","2020","20,155"
"285","Ohio","2020","11,791"
"286","Oklahoma","2020","3,962"
"287","Oregon","2020","4,242"
"288","Pennsylvania","2020","12,990"
"289","Rhode Island","2020","1,096"
"290","South Carolina","2020","5,131"
"291","South Dakota","2020","887"
"292","Tennessee","2020","6,920"
"293","Texas","2020","29,218"
"294","Utah","2020","3,282"
"295","Virginia","2020","8,632"
"296","Vermont","2020","642"
"297","Washington","2020","7,719"
"298","Wisconsin","2020","5,892"
"299","West Virginia","2020","1,790"
"300","Wyoming","2020","577"
